id,name,access,addr:city,addr:district,addr:housenumber,addr:locality,addr:place,addr:postcode,addr:street,addr:unit,alt_name,barrier,created_by,description,designation,disused:leisure,fee,fence_type,landuse,layer,leisure,location,material,name:ar,name:de,name:en,name:es,name:etymology,name:etymology:description,name:etymology:wikidata,name:fa,name:fr,name:hi,name:ml,name:ta,name:ur,name:zh,noname,official_name,old_name,opening_hours,operator,operator:type,parking,short_name,source,source:boundary,source_ref,toilets:access,tourism,type,wall,website,wheelchair,wikidata,wikimedia_commons,wikipedia,latitude,longitude
287238610,RBI Park,,New Delhi,,,,,110023,"Lane K, RBI Staff Quarters, Sarojini Nagar",,,,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,way,,,,,,,28.5780508,77.1919004
289747211,Deen Dayal Upadhyay Park,,,,,,,,,,,wall,,,,,,,,,park,,brick,,,,,,,Q3631426,,,,,,,,,,,,,,,,,,,,,way,brick,,,,,,28.6337507,77.2301975
289747212,Deen Dayal Upadhyay Park,,,,,,,,,,,wall,,,,,,,,,park,,brick,,,,,,,Q3631426,,,,,,,,,,,,,,,,,,,,,way,brick,,,,,,28.6347401,77.2285652
292194579,,,,,,,,,,,,wall,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,way,,,,,,,28.6093196,77.2378122
292194582,,,,,,,,,,,,wall,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,way,,,,,,,28.6041975,77.2406816
292194583,,,,,,,,,,,,wall,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,way,,,,,,,28.5998435,77.2426104
292194584,,,,,,,,,,,,wall,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,way,,,,,,,28.5987555,77.2426654
292194586,,,,,,,,,,,,wall,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,way,,,,,,,28.6038898,77.2423186
292194587,,,,,,,,,,,,wall,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,way,,,,,,,28.5991224,77.2409561
292194588,,,,,,,,,,,,wall,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,way,,,,,,,28.6001288,77.2413327
292194589,,,,,,,,,,,,wall,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,way,,,,,,,28.6034866,77.2410858
292194590,,,,,,,,,,,,wall,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,way,,,,,,,28.6024213,77.2407281
292194591,,,,,,,,,,,,wall,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,way,,,,,,,28.6028195,77.2415903
292194592,,,,,,,,,,,,wall,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,way,,,,,,,28.6049856,77.2422454
292194593,,,,,,,,,,,,wall,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,way,,,,,,,28.6005571,77.2417317
292988259,Moola Mal Bhatia Park,yes,Old Rajinder Nagar,110060,,,,110060,Sir Ganga Ram Hospital Marg,,,,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,sunrise-sunset,,,,,,,,,,way,,,,,,,28.6380464,77.1875919
317310815,,,,,,,,,,,,,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,way,,,,,,,28.6234797,77.2124274
335305068,Jhoola Ground,,,,,,,,,,,,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,way,,,,,,,28.6055681,77.2375994
335305069,,,,,,,,,,,,,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,way,,,,,,,28.6036724,77.2381217
335305070,,,,,,,,,,,,,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,way,,,,,,,28.6021089,77.2395883
335305071,,,,,,,,,,,,,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,way,,,,,,,28.6024497,77.2397916
335305072,,,,,,,,,,,,,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,way,,,,,,,28.6047598,77.2397731
335305073,,,,,,,,,,,,,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,way,,,,,,,28.5988609,77.2400881
335305074,,,,,,,,,,,,,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,way,,,,,,,28.606675,77.239426
357288760,,,,,,,,,,,,,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,way,,,,,,,28.6337144,77.1812593
357288761,,,,,,,,,,,,,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,way,,,,,,,28.6325593,77.1804713
357288762,Sita Mata Park,,,,,,,,,,,,,,,,,,,,park,,,,,,,,,Q191114,,,,,,,,,,,,,,,,,,,,,way,,,,,,,28.6332189,77.1794773
357288763,,,,,,,,,,,,,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,way,,,,,,,28.6334194,77.1788134
357288764,,,,,,,,,,,,,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,way,,,,,,,28.6322228,77.1780924
359561724,,,,,,,,,,,,,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,way,,,,,,,28.6002668,77.2177785
359796538,,,,,,,,,,,,,,,,,,,grass,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,way,,,,,,,28.6115434,77.1955854
359805859,,,,,,,,,,,,,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,way,,,,,,,28.6174071,77.2006976
359819827,,,,,,,,,,,,,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,way,,,,,,,28.6019567,77.192789
359830631,,,,,,,,,,,,,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,way,,,,,,,28.5978153,77.1911992
359830632,,,,,,,,,,,,,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,way,,,,,,,28.5980393,77.1906715
370533491,,,,,,,,,,,,,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,way,,,,,,,28.6009347,77.2052121
370533492,,,,,,,,,,,,,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,way,,,,,,,28.5958018,77.1983945
370534203,,,,,,,,,,,,,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,way,,,,,,,28.5983689,77.1875897
370546792,,,,,,,,,,,,,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,way,,,,,,,28.6073652,77.2052464
370546793,,,,,,,,,,,,,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,way,,,,,,,28.6044221,77.1988634
370715077,,,,,,,,,,,,,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,way,,,,,,,28.6121064,77.2054755
370716732,,,,,,,,,,,,,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,way,,,,,,,28.6113669,77.206175
370737759,,,,,,,,,,,,,,,,,,,,,park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,way,,,,,,,28.6105836,77.2055629
370737760,Prime Chowk,,,,,,,,,,,,,,,,,,,,park,,,,,,,,,,,,,,,پرائم چوک,,,,,,,,,,,,,,,way,,,,,,,28.6088722,77.2083781
