id,name,alt_name,amenity,basin,boat,canoe,covered,fixme,golf,intermittent,landuse,layer,man_made,marsh,motorboat,name:kn,natural,ship,source,survey:date,tunnel,type,water,waterway,wikidata,wikipedia,latitude,longitude
211423276,Madhava Perumal Temple Tank,,,,,,,,,,reservoir,,,,,,water,,,,,way,pond,,,,13.0375225,80.2713768
211435555,,,,,,,,,,,,,,,,,water,,,,,way,canal,,,,13.0831471,80.2746652
211774108,,,,,,,,,,,,,,,,,water,,,,,way,reservoir,,,,13.0634891,80.2725135
214698656,,,,,,,,,,,,,,,,,water,,,,,way,reservoir,,,,13.0763327,80.2678793
217565211,,,,,,,,,,,,,,,,,water,,,,,way,,,,,12.9707396,77.6338606
217565213,,,,,,,,,,,,-1,,,,,water,,,,,way,drain,,,,12.9584819,77.6430139
217609144,,,,,,,,,,,,,,,,,water,,,,,way,reservoir,,,,13.0910336,80.2771319
217609145,Ekambeshwarar Koil Kulam,,,,,,,,,,,,,,,,water,,,,,way,pond,,,,13.0883938,80.2778842
217688012,,,,,,,,,,,,,,,,,water,,,,,way,reservoir,,,,13.0633379,80.2427948
217722050,,,,,,,,,,,reservoir,,,,,,water,,,,,way,reservoir,,,,13.0930486,80.2636871
217845707,,,,,,,,,,,,,,,,,water,,,,,way,,,,,13.0882154,80.2774056
217849594,Chennamalleshwarar Perumal Koil Kulam,,,,,,,,,,,,,,,,water,,,,,way,pond,,,,13.0885131,80.2803264
217850421,,,,,,,,,,,,,,,,,water,,,,,way,,,,,13.0934727,80.2740852
217906524,,,,,,,,,,,,,,,,,water,,,,,way,reservoir,,,,13.1186609,80.2621967
217922857,,,,,,,,,,,,,,,,,water,,,,,way,reservoir,,,,13.0968718,80.2407672
217955850,,,,,,,,,,,,,,,,,water,,,,,way,,,,,13.0913796,80.2334018
217955854,,,,,,,,,,,,,,,,,water,,,,,way,,,,,13.0914239,80.2327569
